Date,Day,Month,Year,Customer_Age,Age_Group,Customer_Gender,Country,State,Product_Category,Sub_Category,Product,Order_Quantity,Unit_Cost,Unit_Price,Profit,Cost,Revenue,Profit_Label
5/2/2016,2,May,2016,43,Adults (35-64),M,United States,California,Accessories,Bottles and Cages,Water Bottle - 30 oz.,10,2,5,29,20,49,Low
9/18/2013,18,September,2013,42,Adults (35-64),F,United Kingdom,England,Accessories,Bottles and Cages,Mountain Bottle Cage,11,4,10,62,44,106,Low
4/22/2014,22,April,2014,23,Youth (<25),F,Germany,Bayern,Bikes,Touring Bikes,"Touring-3000 Yellow, 58",1,461,742,274,461,735,High
6/28/2016,28,June,2016,34,Young Adults (25-34),M,Canada,British Columbia,Accessories,Helmets,"Sport-100 Helmet, Blue",28,13,35,606,364,970,High
12/8/2015,8,December,2015,27,Young Adults (25-34),M,Australia,Victoria,Accessories,Tires and Tubes,HL Road Tire,2,12,33,28,24,52,Low
4/7/2016,7,April,2016,34,Young Adults (25-34),F,Germany,Hamburg,Accessories,Helmets,"Sport-100 Helmet, Blue",27,13,35,528,351,879,High
3/2/2014,2,March,2014,45,Adults (35-64),F,Australia,Victoria,Accessories,Tires and Tubes,HL Mountain Tire,23,13,35,337,299,636,High
11/9/2015,9,November,2015,46,Adults (35-64),F,France,Essonne,Bikes,Touring Bikes,"Touring-1000 Blue, 46",1,1482,2384,807,1482,2289,High
1/11/2016,11,January,2016,18,Youth (<25),M,Canada,British Columbia,Accessories,Fenders,Fender Set - Mountain,5,8,22,69,40,109,Low
1/20/2014,20,January,2014,43,Adults (35-64),M,United Kingdom,England,Accessories,Bottles and Cages,Mountain Bottle Cage,13,4,10,73,52,125,Low
3/23/2016,23,March,2016,34,Young Adults (25-34),F,Germany,Hessen,Accessories,Fenders,Fender Set - Mountain,26,8,22,324,208,532,High
10/18/2013,18,October,2013,42,Adults (35-64),F,Canada,British Columbia,Clothing,Gloves,"Half-Finger Gloves, S",11,9,24,162,99,261,High
2/7/2014,7,February,2014,33,Young Adults (25-34),F,United States,Oregon,Accessories,Tires and Tubes,Road Tire Tube,28,1,4,68,28,96,Low
6/22/2014,22,June,2014,18,Youth (<25),M,United States,Washington,Clothing,Gloves,"Half-Finger Gloves, S",19,9,24,185,171,356,High
12/1/2013,1,December,2013,31,Young Adults (25-34),M,Germany,Saarland,Accessories,Tires and Tubes,Patch Kit/8 Patches,26,1,2,17,26,43,Low
4/24/2016,24,April,2016,37,Adults (35-64),F,Canada,British Columbia,Accessories,Bottles and Cages,Water Bottle - 30 oz.,21,2,5,62,42,104,Low
2/11/2016,11,February,2016,32,Young Adults (25-34),F,Australia,Queensland,Accessories,Tires and Tubes,Patch Kit/8 Patches,12,1,2,8,12,20,Low
3/30/2013,30,March,2013,38,Adults (35-64),F,Australia,New South Wales,Bikes,Mountain Bikes,"Mountain-400-W Silver, 42",1,420,769,249,420,669,High
1/14/2011,14,January,2011,40,Adults (35-64),M,United States,Washington,Bikes,Road Bikes,"Road-650 Black, 48",1,487,783,124,487,611,High
3/1/2014,1,March,2014,42,Adults (35-64),F,Germany,Nordrhein-westfalen,Accessories,Bottles and Cages,Water Bottle - 30 oz.,25,2,5,59,50,109,Low
11/23/2013,23,November,2013,36,Adults (35-64),M,Canada,British Columbia,Accessories,Tires and Tubes,Road Tire Tube,24,1,4,71,24,95,Low
12/24/2015,24,December,2015,41,Adults (35-64),F,United States,Washington,Accessories,Tires and Tubes,Mountain Tire Tube,4,2,5,8,8,16,Low
5/16/2016,16,May,2016,31,Young Adults (25-34),M,Germany,Hamburg,Accessories,Tires and Tubes,Patch Kit/8 Patches,8,1,2,7,8,15,Low
3/6/2016,6,March,2016,42,Adults (35-64),M,United States,California,Accessories,Bottles and Cages,Water Bottle - 30 oz.,27,2,5,78,54,132,Low
2/6/2016,6,February,2016,41,Adults (35-64),M,United States,California,Accessories,Tires and Tubes,Patch Kit/8 Patches,15,1,2,14,15,29,Low
11/13/2013,13,November,2013,27,Young Adults (25-34),M,Australia,New South Wales,Bikes,Mountain Bikes,"Mountain-200 Black, 38",1,1252,2295,745,1252,1997,High
11/30/2015,30,November,2015,38,Adults (35-64),M,France,Moselle,Accessories,Tires and Tubes,LL Road Tire,19,8,21,199,152,351,High
12/30/2013,30,December,2013,25,Young Adults (25-34),F,Canada,British Columbia,Accessories,Helmets,"Sport-100 Helmet, Blue",20,13,35,433,260,693,High
